unit_id,form_index,name
0,0,"ネコ"
0,1,"ネコビルダー"
0,2,"ネコモヒカン"
1,0,"タンクネコ"
1,1,"ネコカベ"
1,2,"ゴムネコ"
2,0,"バトルネコ"
2,1,"勇者ネコ"
2,2,"暗黒ネコ"
3,0,"キモネコ"
3,1,"美脚ネコ"
3,2,"ムキあしネコ"
4,0,"ウシネコ"
4,1,"ネコキリン"
4,2,"ネコライオン"
5,0,"ネコノトリ"
5,1,"ネコＵＦＯ"
5,2,"天空のネコ"
6,0,"ネコフィッシュ"
6,1,"ネコクジラ"
6,2,"ネコ島"
7,0,"ネコトカゲ"
7,1,"ネコドラゴン"
7,2,"ネコキングドラゴン"
8,0,"巨神ネコ"
8,1,"ネコダラボッチ"
8,2,"ネコジャラミ"
9,0,"ネコ女優"
9,1,"ネコ聖母"
9,2,"ネコマッチョ"
10,0,"カンフーにゃんこ"
10,1,"酔拳にゃんこ"
10,2,"ネコダンサー"
11,0,"Mr."
11,1,"Super Mr."
11,2,"Hyper Mr."
12,0,"猫縛り"
12,1,"猫縛りNEO"
12,2,"猫縛り極上"
13,0,"女王猫"
13,1,"処刑人"
13,2,"暗黒嬢"
14,0,"ネコの箱詰め"
14,1,"ネコギャング"
14,2,"重機C・A・T"
15,0,"ネコパンツ"
15,1,"ネコ葉っぱ"
15,2,"ネコぺろきゃん"
16,0,"もねこ"
16,1,"スターもねこ"
16,2,"スーパースターもねこ"
17,0,"ネコリンリン"
17,1,"ネコワイルド"
17,2,"イチリンリン"
18,0,"ネコ忍者"
18,1,"ガマネコ忍者"
18,2,"ムササビネコ忍者"
19,0,"ネコゾンビ"
19,1,"デビルネコ"
19,2,"ネコボーン"
20,0,"ネコざむらい"
20,1,"ネコナイト"
20,2,"ネコパティシエ"
21,0,"スモウネコ"
21,1,"マダム・ザ・スモウ"
21,2,"ネコにぎり"
22,0,"ネコフィーバー"
22,1,"ネコカーニバル"
22,2,"ネコアミーゴ"
23,0,"ネコスカート"
23,1,"ネコタイツ"
23,2,"ねこななふん"
24,0,"ネコヴァルキリー"
24,1,"ネコヴァルキリー・真"
24,2,"ネコヴァルキリー・聖"
25,0,"ネコムート"
25,1,"狂乱のネコムート"
25,2,"覚醒のネコムート"
26,0,"ケリ姫"
26,1,"フルカラーケリ姫"
26,2,"ウェディングケリ姫"
27,0,"ネコひめ"
27,1,"ネコひめビューティ"
28,0,"ネコカプセル"
28,1,"ねこ盛り"
29,0,"マスクオブネコ"
29,1,"ネコレスラー"
30,0,"ネコぼさつ"
30,1,"ネコせんじゅ"
30,2,"ネコにょらい"
31,0,"ネコ番長"
31,1,"怒りのネコ番長"
31,2,"押忍！ネコ番長"
32,0,"ネコザイル"
32,1,"ネコ裸踊り"
32,2,"ネコカンカン"
33,0,"ねこタツ"
33,1,"ねこＴＶ"
33,2,"ねこタコつぼ"
34,0,"ネコルガ"
34,1,"ケサランパサラン"
34,2,"ウルトラケサラン"
35,0,"オタネコ"
35,1,"ネコハッカー"
35,2,"ネコスーパーハッカー"
36,0,"ネコスイマー"
36,1,"ネコバタフライ"
36,2,"ネコ半魚人"
37,0,"ネコホッピング"
37,1,"ネコマサイ"
37,2,"ネコキョンシー"
38,0,"ネコ車輪"
